tunnel_num s t edges
335 15 10 15-14,14-13,13-16,16-10
336 14 6 14-15,15-6
337 14 6 14-5,5-4,4-6
338 14 6 14-13,13-16,16-1,1-6
339 13 6 13-16,16-1,1-6
340 13 6 13-14,14-15,15-6
341 13 6 13-12,12-11,11-8,8-4,4-6
342 0 5 0-3,3-2,2-4,4-5
343 0 5 0-7,7-6,6-1,1-5
344 0 5 0-7,7-6,6-4,4-5
345 15 7 15-6,6-7
346 15 7 15-14,14-5,5-4,4-2,2-3,3-0,0-7
347 15 7 15-14,14-5,5-1,1-6,6-7
348 1 0 1-6,6-7,7-0
349 1 0 1-5,5-4,4-2,2-3,3-0
350 1 0 1-16,16-9,9-2,2-3,3-0
351 0 8 0-7,7-6,6-4,4-8
352 0 8 0-3,3-2,2-9,9-16,16-10,10-11,11-8
353 0 8 0-3,3-2,2-4,4-8
354 4 11 4-8,8-11
355 4 11 4-5,5-14,14-13,13-12,12-11
356 4 11 4-6,6-1,1-16,16-10,10-11
357 3 5 3-2,2-4,4-5
358 3 5 3-0,0-7,7-6,6-1,1-5
359 3 5 3-2,2-9,9-16,16-1,1-5
360 2 7 2-3,3-0,0-7
361 2 7 2-4,4-6,6-7
362 2 7 2-9,9-16,16-1,1-6,6-7
363 9 13 9-16,16-13
364 9 13 9-2,2-4,4-5,5-14,14-13
365 9 13 9-16,16-10,10-11,11-12,12-13
366 8 3 8-4,4-2,2-3
367 8 3 8-11,11-10,10-16,16-1,1-6,6-7,7-0,0-3
368 8 3 8-4,4-6,6-7,7-0,0-3
369 5 10 5-1,1-16,16-10
370 5 10 5-4,4-8,8-11,11-10
371 5 10 5-14,14-13,13-16,16-10
372 4 6 4-6
373 4 6 4-5,5-1,1-6
374 4 6 4-2,2-3,3-0,0-7,7-6
375 9 2 9-2
376 9 2 9-16,16-1,1-6,6-4,4-2
377 9 2 9-16,16-1,1-5,5-4,4-2
378 15 16 15-14,14-13,13-16
379 15 16 15-6,6-1,1-16
380 15 16 15-14,14-5,5-1,1-16
381 6 1 6-1
382 6 1 6-4,4-5,5-1
383 6 1 6-15,15-14,14-13,13-16,16-1
384 5 7 5-1,1-6,6-7
385 5 7 5-4,4-2,2-3,3-0,0-7
386 5 7 5-4,4-6,6-7
387 11 3 11-8,8-4,4-2,2-3
388 11 3 11-10,10-16,16-1,1-6,6-7,7-0,0-3
389 11 3 11-10,10-16,16-9,9-2,2-3
390 14 8 14-5,5-4,4-8
391 14 8 14-13,13-12,12-11,11-8
392 14 8 14-15,15-6,6-4,4-8
393 7 4 7-6,6-4
394 7 4 7-0,0-3,3-2,2-4
395 7 4 7-6,6-1,1-5,5-4
396 14 12 14-13,13-12
397 14 12 14-5,5-4,4-8,8-11,11-12
398 14 12 14-5,5-1,1-16,16-13,13-12
399 12 4 12-11,11-8,8-4
400 12 4 12-13,13-14,14-5,5-4
401 12 4 12-13,13-16,16-1,1-5,5-4
402 15 9 15-14,14-13,13-16,16-9
403 15 9 15-6,6-4,4-2,2-9
404 15 9 15-6,6-1,1-16,16-9
405 14 3 14-5,5-4,4-2,2-3
406 14 3 14-15,15-6,6-7,7-0,0-3
407 14 3 14-15,15-6,6-4,4-2,2-3
408 13 9 13-16,16-9
409 13 9 13-14,14-5,5-4,4-2,2-9
410 13 9 13-12,12-11,11-10,10-16,16-9
411 0 2 0-3,3-2
412 0 2 0-7,7-6,6-4,4-2
413 0 2 0-7,7-6,6-1,1-16,16-9,9-2
414 3 15 3-0,0-7,7-6,6-15
415 3 15 3-2,2-4,4-5,5-14,14-15
416 3 15 3-2,2-4,4-6,6-15
417 1 3 1-5,5-4,4-2,2-3
418 1 3 1-6,6-7,7-0,0-3
419 1 3 1-16,16-9,9-2,2-3
420 8 13 8-11,11-12,12-13
421 8 13 8-4,4-5,5-14,14-13
422 8 13 8-11,11-10,10-16,16-13
423 4 8 4-8
424 4 8 4-5,5-14,14-13,13-12,12-11,11-8
425 4 8 4-2,2-9,9-16,16-10,10-11,11-8
426 3 0 3-0
427 3 0 3-2,2-4,4-6,6-7,7-0
428 3 0 3-2,2-9,9-16,16-1,1-6,6-7,7-0
429 2 8 2-4,4-8
430 2 8 2-9,9-16,16-10,10-11,11-8
431 2 8 2-3,3-0,0-7,7-6,6-4,4-8
432 9 8 9-2,2-4,4-8
433 9 8 9-16,16-10,10-11,11-8
434 9 8 9-16,16-13,13-12,12-11,11-8
435 8 0 8-4,4-2,2-3,3-0
436 8 0 8-11,11-10,10-16,16-1,1-6,6-7,7-0
437 8 0 8-4,4-6,6-7,7-0
438 5 13 5-14,14-13
439 5 13 5-1,1-16,16-13
440 5 13 5-4,4-8,8-11,11-12,12-13
441 10 15 10-16,16-1,1-6,6-15
442 10 15 10-11,11-12,12-13,13-14,14-15
443 10 15 10-16,16-13,13-14,14-15
444 6 2 6-4,4-2
445 6 2 6-1,1-16,16-9,9-2
446 6 2 6-7,7-0,0-3,3-2
447 11 14 11-12,12-13,13-14
448 11 14 11-8,8-4,4-5,5-14
449 11 14 11-10,10-16,16-1,1-6,6-15,15-14
450 7 11 7-6,6-4,4-8,8-11
451 7 11 7-0,0-3,3-2,2-9,9-16,16-10,10-11
452 7 11 7-6,6-1,1-16,16-10,10-11
453 14 9 14-13,13-16,16-9
454 14 9 14-5,5-4,4-2,2-9
455 14 9 14-5,5-1,1-16,16-9
456 12 9 12-13,13-16,16-9
457 12 9 12-11,11-8,8-4,4-2,2-9
458 12 9 12-11,11-10,10-16,16-9
459 15 12 15-14,14-13,13-12
460 15 12 15-6,6-4,4-8,8-11,11-12
461 15 12 15-6,6-1,1-16,16-13,13-12
462 13 12 13-12
463 13 12 13-16,16-10,10-11,11-12
464 13 12 13-14,14-5,5-4,4-8,8-11,11-12
465 0 15 0-7,7-6,6-15
466 0 15 0-3,3-2,2-4,4-5,5-14,14-15
467 0 15 0-3,3-2,2-4,4-6,6-15
468 3 10 3-2,2-9,9-16,16-10
469 3 10 3-0,0-7,7-6,6-4,4-8,8-11,11-10
470 3 10 3-2,2-4,4-8,8-11,11-10
471 1 14 1-5,5-14
472 1 14 1-16,16-13,13-14
473 1 14 1-6,6-15,15-14
474 8 10 8-11,11-10
475 8 10 8-4,4-6,6-1,1-16,16-10
476 8 10 8-4,4-2,2-9,9-16,16-10
477 4 13 4-5,5-14,14-13
478 4 13 4-8,8-11,11-12,12-13
479 4 13 4-6,6-1,1-16,16-13
480 2 13 2-9,9-16,16-13
481 2 13 2-4,4-8,8-11,11-12,12-13
482 2 13 2-3,3-0,0-7,7-6,6-15,15-14,14-13
483 9 11 9-16,16-10,10-11
484 9 11 9-2,2-4,4-8,8-11
485 9 11 9-16,16-13,13-12,12-11
486 5 0 5-1,1-6,6-7,7-0
487 5 0 5-4,4-2,2-3,3-0
488 5 0 5-4,4-6,6-7,7-0
489 3 16 3-2,2-9,9-16
490 3 16 3-0,0-7,7-6,6-1,1-16
491 3 16 3-2,2-4,4-5,5-1,1-16
492 10 0 10-16,16-1,1-6,6-7,7-0
493 10 0 10-11,11-8,8-4,4-2,2-3,3-0
494 10 0 10-16,16-9,9-2,2-3,3-0
495 8 16 8-11,11-10,10-16
496 8 16 8-4,4-6,6-1,1-16
497 8 16 8-4,4-2,2-9,9-16
498 6 15 6-15
499 6 15 6-4,4-5,5-14,14-15
500 6 15 6-1,1-5,5-14,14-15
501 16 9 16-9
502 16 9 16-1,1-6,6-4,4-2,2-9
503 16 9 16-1,1-5,5-4,4-2,2-9
504 12 3 12-13,13-16,16-9,9-2,2-3
505 12 3 12-11,11-8,8-4,4-6,6-7,7-0,0-3
506 12 3 12-11,11-8,8-4,4-2,2-3
507 11 13 11-12,12-13
508 11 13 11-10,10-16,16-13
509 11 13 11-8,8-4,4-5,5-14,14-13
510 16 10 16-10
511 16 10 16-13,13-12,12-11,11-10
512 16 10 16-9,9-2,2-4,4-8,8-11,11-10
513 7 14 7-6,6-15,15-14
514 7 14 7-0,0-3,3-2,2-4,4-5,5-14
515 7 14 7-6,6-1,1-5,5-14
516 14 10 14-13,13-16,16-10
517 14 10 14-5,5-4,4-8,8-11,11-10
518 14 10 14-5,5-1,1-16,16-10
519 13 2 13-16,16-9,9-2
520 13 2 13-12,12-11,11-8,8-4,4-2
521 13 2 13-14,14-15,15-6,6-7,7-0,0-3,3-2
522 12 14 12-13,13-14
523 12 14 12-11,11-8,8-4,4-5,5-14
524 12 14 12-13,13-16,16-1,1-5,5-14
525 15 3 15-6,6-7,7-0,0-3
526 15 3 15-14,14-5,5-4,4-2,2-3
527 15 3 15-6,6-4,4-2,2-3
528 13 15 13-14,14-15
529 13 15 13-16,16-1,1-6,6-15
530 13 15 13-14,14-5,5-1,1-6,6-15
531 1 4 1-5,5-4
532 1 4 1-6,6-4
533 1 4 1-16,16-9,9-2,2-4
534 0 12 0-3,3-2,2-9,9-16,16-13,13-12
535 0 12 0-7,7-6,6-4,4-8,8-11,11-12
536 0 12 0-7,7-6,6-1,1-16,16-13,13-12
537 3 9 3-2,2-9
538 3 9 3-0,0-7,7-6,6-1,1-16,16-9
539 3 9 3-2,2-4,4-5,5-1,1-16,16-9
540 2 3 2-3
541 2 3 2-4,4-6,6-7,7-0,0-3
542 2 3 2-9,9-16,16-1,1-6,6-7,7-0,0-3
543 1 9 1-16,16-9
544 1 9 1-6,6-4,4-2,2-9
545 1 9 1-5,5-4,4-2,2-9
546 8 7 8-4,4-2,2-3,3-0,0-7
547 8 7 8-11,11-10,10-16,16-1,1-6,6-7
548 8 7 8-4,4-6,6-7
